"","participant_id","age","sex","education_level","background_SES","social.ideology","social.ideology.scale","social.identity","social.identity.scale","political.interest","political.interest.scale"
"1","sub-0001",22,"female","medium",2,1,-1.17542691205401,2,-1.01142350762028,NA,NA
"2","sub-0002",21.75,"female","medium",5.5,2,0.497679833195258,3,-0.24066282671439,NA,NA
"3","sub-0003",25.25,"female","high",3,1,-1.17542691205401,2,-1.01142350762028,NA,NA
"4","sub-0004",22.5,"female","high",5,2,0.497679833195258,3,-0.24066282671439,NA,NA
"5","sub-0005",22.25,"male","high",4.5,1.25,-0.757150225741696,3,-0.24066282671439,NA,NA
"6","sub-0006",24.75,"female","medium",2.5,1.5,-0.338873539429378,2,-1.01142350762028,NA,NA
"7","sub-0007",20.25,"male","medium",4,1.75,0.0794031468829401,5,1.30085853509739,NA,NA
"8","sub-0008",20.5,"female","medium",2,1,-1.17542691205401,2,-1.01142350762028,NA,NA
"9","sub-0009",26,"male","high",2,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"10","sub-0010",22,"male","medium",2,2,0.497679833195258,2,-1.01142350762028,NA,NA
"11","sub-0011",25.25,"male","medium",3,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"12","sub-0012",20.75,"male","high",4.5,1,-1.17542691205401,2,-1.01142350762028,NA,NA
"13","sub-0013",23.5,"male","medium",2,3.5,3.00733995106917,3,-0.24066282671439,NA,NA
"14","sub-0014",21.5,"male","high",4,1,-1.17542691205401,3,-0.24066282671439,NA,NA
"15","sub-0015",22,"male","high",3.5,1.25,-0.757150225741696,4,0.530097854191498,NA,NA
"16","sub-0016",20.5,"male","medium",3.5,1,-1.17542691205401,4,0.530097854191498,NA,NA
"17","sub-0017",24,"male","medium",4,1.25,-0.757150225741696,2,-1.01142350762028,NA,NA
"18","sub-0018",20.5,"male","high",6,2.5,1.33423320581989,3,-0.24066282671439,NA,NA
"19","sub-0019",22.5,"female","high",4.5,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"20","sub-0020",20.25,"female","medium",2,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"21","sub-0021",22.75,"male","high",5,1,-1.17542691205401,3,-0.24066282671439,NA,NA
"22","sub-0022",23.5,"female","high",3,1,-1.17542691205401,3,-0.24066282671439,NA,NA
"23","sub-0023",24.75,"female","high",4.5,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"24","sub-0024",23.75,"male","high",3.5,1,-1.17542691205401,6,2.07161921600328,NA,NA
"25","sub-0025",23,"female","high",3.5,1,-1.17542691205401,7,2.84237989690916,NA,NA
"26","sub-0026",20.75,"female","medium",4.5,1.25,-0.757150225741696,3,-0.24066282671439,NA,NA
"27","sub-0027",23.25,"male","high",5,1.75,0.0794031468829401,2,-1.01142350762028,NA,NA
"28","sub-0028",24,"female","high",5,2,0.497679833195258,2,-1.01142350762028,NA,NA
"29","sub-0029",25.75,"male","high",5,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"30","sub-0030",22.75,"male","high",4,1.25,-0.757150225741696,4,0.530097854191498,NA,NA
"31","sub-0031",24.75,"female","high",4.5,2,0.497679833195258,4,0.530097854191498,NA,NA
"32","sub-0032",23,"female","high",4.5,1.5,-0.338873539429378,2,-1.01142350762028,NA,NA
"33","sub-0033",25.75,"female","medium",4,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"34","sub-0034",23.75,"male","medium",3.5,2,0.497679833195258,3,-0.24066282671439,NA,NA
"35","sub-0035",21.25,"female","high",4.5,1.5,-0.338873539429378,2,-1.01142350762028,NA,NA
"36","sub-0037",24.25,"female","medium",2.5,1.5,-0.338873539429378,1,-1.78218418852617,NA,NA
"37","sub-0038",20,"male","medium",3,1,-1.17542691205401,1,-1.78218418852617,NA,NA
"38","sub-0039",22.25,"male","medium",4,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"39","sub-0040",25,"female","medium",2.5,1.25,-0.757150225741696,3,-0.24066282671439,NA,NA
"40","sub-0041",24.75,"male","low",4.5,1.25,-0.757150225741696,5,1.30085853509739,NA,NA
"41","sub-0042",23.75,"male","medium",2,2.25,0.915956519507576,2,-1.01142350762028,NA,NA
"42","sub-0043",25.25,"female","high",5,1.25,-0.757150225741696,4,0.530097854191498,NA,NA
"43","sub-0044",22.5,"female","high",5,1.25,-0.757150225741696,1,-1.78218418852617,NA,NA
"44","sub-0045",20,"male","medium",3.5,1,-1.17542691205401,2,-1.01142350762028,NA,NA
"45","sub-0046",20.25,"male","medium",3.5,1,-1.17542691205401,2,-1.01142350762028,NA,NA
"46","sub-0047",21.75,"female","medium",4.5,1.25,-0.757150225741696,5,1.30085853509739,NA,NA
"47","sub-0048",21,"male","high",6,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"48","sub-0049",23.75,"female","high",5,1,-1.17542691205401,1,-1.78218418852617,NA,NA
"49","sub-0050",22.5,"female","high",5,2,0.497679833195258,5,1.30085853509739,NA,NA
"50","sub-0051",23.25,"female","high",5,1.75,0.0794031468829401,2,-1.01142350762028,NA,NA
"51","sub-0052",22.5,"female","high",6,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"52","sub-0053",21.25,"male","high",3.5,1.25,-0.757150225741696,5,1.30085853509739,NA,NA
"53","sub-0054",21.5,"male","medium",4.5,1.5,-0.338873539429378,2,-1.01142350762028,NA,NA
"54","sub-0055",22.25,"male","medium",2.5,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"55","sub-0056",20,"male","medium",2,1.5,-0.338873539429378,5,1.30085853509739,NA,NA
"56","sub-0057",24.75,"male","medium",5,1,-1.17542691205401,1,-1.78218418852617,NA,NA
"57","sub-0058",24.5,"male","medium",4,1.5,-0.338873539429378,2,-1.01142350762028,NA,NA
"58","sub-0059",24.25,"male","low",3.5,1.25,-0.757150225741696,3,-0.24066282671439,NA,NA
"59","sub-0060",24.25,"male","high",3,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"60","sub-0061",25.75,"female","medium",3,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"61","sub-0062",20.25,"female","high",2,1.5,-0.338873539429378,1,-1.78218418852617,NA,NA
"62","sub-0063",23.25,"male","medium",3,1,-1.17542691205401,1,-1.78218418852617,NA,NA
"63","sub-0064",22.5,"female","medium",4.5,2,0.497679833195258,5,1.30085853509739,NA,NA
"64","sub-0065",20.5,"female","low",2,1,-1.17542691205401,2,-1.01142350762028,NA,NA
"65","sub-0066",23.25,"male","high",6,2,0.497679833195258,4,0.530097854191498,NA,NA
"66","sub-0067",21,"female","high",5,2.25,0.915956519507576,3,-0.24066282671439,NA,NA
"67","sub-0068",20.5,"male","medium",3.5,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
