participant_id,age,sex,education_level,background_SES,social.ideology,social.ideology.scale,social.identity,social.identity.scale,political.interest,political.interest.scale
sub-0004,22.5,female,high,5.0,2.0,0.497679833195258,3,-0.24066282671439,,
sub-0006,24.75,female,medium,2.5,1.5,-0.338873539429378,2,-1.01142350762028,,
sub-0008,20.5,female,medium,2.0,1.0,-1.17542691205401,2,-1.01142350762028,,
sub-0011,25.25,male,medium,3.0,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0014,21.5,male,high,4.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0016,20.5,male,medium,3.5,1.0,-1.17542691205401,4,0.530097854191498,,
sub-0017,24.0,male,medium,4.0,1.25,-0.757150225741696,2,-1.01142350762028,,
sub-0021,22.75,male,high,5.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0024,23.75,male,high,3.5,1.0,-1.17542691205401,6,2.07161921600328,,
sub-0027,23.25,male,high,5.0,1.75,0.0794031468829401,2,-1.01142350762028,,
sub-0031,24.75,female,high,4.5,2.0,0.497679833195258,4,0.530097854191498,,
sub-0032,23.0,female,high,4.5,1.5,-0.338873539429378,2,-1.01142350762028,,
sub-0034,23.75,male,medium,3.5,2.0,0.497679833195258,3,-0.24066282671439,,
sub-0037,24.25,female,medium,2.5,1.5,-0.338873539429378,1,-1.78218418852617,,
sub-0038,20.0,male,medium,3.0,1.0,-1.17542691205401,1,-1.78218418852617,,
sub-0040,25.0,female,medium,2.5,1.25,-0.757150225741696,3,-0.24066282671439,,
sub-0043,25.25,female,high,5.0,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0046,20.25,male,medium,3.5,1.0,-1.17542691205401,2,-1.01142350762028,,
sub-0047,21.75,female,medium,4.5,1.25,-0.757150225741696,5,1.30085853509739,,
sub-0049,23.75,female,high,5.0,1.0,-1.17542691205401,1,-1.78218418852617,,
sub-0055,22.25,male,medium,2.5,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0057,24.75,male,medium,5.0,1.0,-1.17542691205401,1,-1.78218418852617,,
sub-0059,24.25,male,low,3.5,1.25,-0.757150225741696,3,-0.24066282671439,,
sub-0060,24.25,male,high,3.0,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0062,20.25,female,high,2.0,1.5,-0.338873539429378,1,-1.78218418852617,,
sub-0063,23.25,male,medium,3.0,1.0,-1.17542691205401,1,-1.78218418852617,,
sub-0066,23.25,male,high,6.0,2.0,0.497679833195258,4,0.530097854191498,,
sub-0068,20.5,male,medium,3.5,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0069,23.5,female,high,2.0,1.0,-1.17542691205401,4,0.530097854191498,,
sub-0071,21.0,male,high,6.0,2.0,0.497679833195258,1,-1.78218418852617,,
sub-0076,25.75,male,medium,4.0,3.0,2.17078657844453,4,0.530097854191498,,
sub-0079,24.75,female,medium,3.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0081,21.0,female,low,3.5,3.0,2.17078657844453,3,-0.24066282671439,,
sub-0087,22.25,male,high,5.0,1.0,-1.17542691205401,2,-1.01142350762028,,
sub-0088,24.5,female,medium,2.0,1.0,-1.17542691205401,4,0.530097854191498,,
sub-0089,24.5,female,medium,2.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0094,22.0,female,medium,6.0,1.5,-0.338873539429378,2,-1.01142350762028,,
sub-0095,20.75,female,medium,4.0,1.25,-0.757150225741696,1,-1.78218418852617,,
sub-0098,21.75,male,low,3.0,1.0,-1.17542691205401,1,-1.78218418852617,,
sub-0100,25.75,male,high,4.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0102,25.25,male,high,6.0,1.25,-0.757150225741696,4,0.530097854191498,,
