"","AOMICID","income","female","education","hand","econ.ideology","econ.ideology.scale","social.ideology","social.ideology.scale","economic.identity","economic.identity.scale","social.identity","social.identity.scale","political.interest","political.interest.scale","non.voting","unfaithful.voting","vote.2010","vote.next","alpha","beta","gamma","delta","Fscale","ACC","rAmyg","rAmygW","lAmyg"
"1","001","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,"havo of vwo (hbs, atheneum, gymnasium)","Rechtshandig",3,0.151531092249389,1,-1.17542691205401,3,-0.483084154845155,2,-1.01142350762028,NA,NA,1,5,"GroenLinks","GroenLinks",1.20288530084065,0.555167388326278,0.497027301082726,-1.52638706026245,0.625,321,696,438,715
"2","002","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,"universiteit of post-hbo onderwijs","Rechtshandig",3,0.151531092249389,2,0.497679833195258,3,-0.483084154845155,3,-0.24066282671439,NA,NA,1,5,"GroenLinks","D66",0.80095066305542,0.905416971013799,-0.800033657887896,-0.988187672518121,0.375,338,737,460,770
"3","003","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,"havo of vwo (hbs, atheneum, gymnasium)","Rechtshandig",2.5,-0.524746560196959,1,-1.17542691205401,2,-1.09342901103222,2,-1.01142350762028,NA,NA,1,3,"GroenLinks","GroenLinks",-1.20872252587072,0.905416971013799,-0.021797082505523,2.24100865394787,0.875,316,700,437,686
"4","004","Dubbel-modaal tot driemaal-modaal (65000-100000 euro in 2010) ",0,"havo of vwo (hbs, atheneum, gymnasium)","Rechtshandig",2.75,-0.186607733973785,2,0.497679833195258,4,0.127260701341909,3,-0.24066282671439,NA,NA,1,4,"D66","D66",-1.20872252587072,0.555167388326278,0.237615109288601,1.43370957233138,0.5,335,764,473,733
"5","005","Dubbel-modaal tot driemaal-modaal (65000-100000 euro in 2010) ",1," hbo (hoger beroepsonderwijs)","Rechtshandig",3,0.151531092249389,1.25,-0.757150225741696,6,1.34795041371604,3,-0.24066282671439,NA,NA,1,2,"VVD","VVD",0.399016025270191,-0.145331777048764,-1.05944584968202,0.35731079684271,0.375,318,680,420,703
"6","006","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,"havo of vwo (hbs, atheneum, gymnasium)","Rechtshandig",3,0.151531092249389,1.5,-0.338873539429378,2,-1.09342901103222,2,-1.01142350762028,NA,NA,1,5,"PvdA","PvdA",-1.61065716365595,0.555167388326278,-0.281209274299647,1.43370957233138,0.375,321,745,468,747
"7","007","Dubbel-modaal tot driemaal-modaal (65000-100000 euro in 2010) ",1,"havo of vwo (hbs, atheneum, gymnasium)","Rechtshandig",3.25,0.489669918472564,1.75,0.0794031468829401,3,-0.483084154845155,5,1.30085853509739,NA,NA,1,4,"PvdA","GroenLinks",-0.00291861251503796,-2.59707885586141,-0.021797082505523,-0.719087978645954,0.375,295,627,382,639
"8","008","Dubbel-modaal tot driemaal-modaal (65000-100000 euro in 2010) ",0,"havo of vwo (hbs, atheneum, gymnasium)","Rechtshandig",2.25,-0.862885386420134,1,-1.17542691205401,3,-0.483084154845155,2,-1.01142350762028,NA,NA,1,7,"GroenLinks","PvdA",-1.20872252587072,1.25566655370132,-0.800033657887896,0.626410490714877,0.875,328,697,429,739
"9","009","Dubbel-modaal tot driemaal-modaal (65000-100000 euro in 2010) ",0,"havo of vwo (hbs, atheneum, gymnasium)","Linkshandig",1.75,-1.53916303886648,1.75,0.0794031468829401,3,-0.483084154845155,3,-0.24066282671439,NA,NA,1,3,"D66","D66",-0.806787888085496,0.905416971013799,-0.281209274299647,0.0882111029705443,0.75,320,612,375,658
"10","010","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0," hbo (hoger beroepsonderwijs)","Rechtshandig",1.5,-1.87730186508966,2,0.497679833195258,2,-1.09342901103222,2,-1.01142350762028,NA,NA,1,3,"GroenLinks","GroenLinks",-0.806787888085496,0.905416971013799,-1.31885804147614,0.626410490714877,0.75,282,476,283,343
